Date,Open,High,Low,Close
03/27/2020,"67,067.03","78,846.34","62,161.38","73,428.78"
03/20/2020,"82,564.88","82,564.88","61,690.53","67,069.36"
03/13/2020,"97,982.08","97,982.08","68,488.29","82,677.91"
03-06-2020,"1,04,259.51","1,08,803.58","96,885.83","97,996.77"
02/28/2020,"1,13,646.53","1,13,646.53","99,950.96","1,04,171.57"
02/21/2020,"1,14,381.36","1,16,552.46","1,12,661.31","1,13,681.42"
02/14/2020,"1,13,771.35","1,17,580.93","1,12,134.40","1,14,380.71"
02-07-2020,"1,13,760.57","1,17,700.53","1,13,467.40","1,13,770.29"
01/31/2020,"1,18,346.72","1,18,346.72","1,12,825.49","1,13,760.57"
01/24/2020,"1,18,478.38","1,19,593.10","1,16,905.95","1,18,376.36"
01/17/2020,"1,15,502.53","1,18,478.95","1,15,502.53","1,18,478.30"
01-10-2020,"1,17,706.66","1,17,706.66","1,14,952.34","1,15,503.42"
01-03-2020,"1,15,651.95","1,18,791.86","1,15,648.97","1,17,706.66"
12/30/2019,"1,16,530.28","1,17,085.94","1,15,599.16","1,15,645.34"
12/27/2019,"1,15,118.96","1,17,802.86","1,14,964.34","1,16,533.98"
12/20/2019,"1,12,565.28","1,15,170.58","1,11,896.04","1,15,121.08"
12/13/2019,"1,11,125.10","1,12,829.31","1,10,132.84","1,12,564.86"
12-06-2019,"1,08,233.28","1,11,429.66","1,08,190.46","1,11,125.75"
11/29/2019,"1,08,692.28","1,08,914.73","1,06,312.21","1,08,233.28"
11/22/2019,"1,06,566.04","1,08,692.28","1,05,366.68","1,08,692.28"
11/14/2019,"1,07,621.72","1,08,367.80","1,05,260.78","1,06,556.88"
11-08-2019,"1,08,195.72","1,09,671.91","1,07,126.65","1,07,628.98"
11-01-2019,"1,07,365.66","1,08,496.08","1,06,355.82","1,08,195.63"
10/25/2019,"1,04,728.89","1,08,083.26","1,04,695.52","1,07,363.77"
10/18/2019,"1,03,832.42","1,05,891.19","1,03,438.47","1,04,728.89"
10-11-2019,"1,02,546.02","1,04,380.89","99,867.59","1,03,831.92"
10-04-2019,"1,05,077.45","1,05,177.50","99,826.30","1,02,551.32"
09/27/2019,"1,04,817.39","1,05,632.94","1,03,033.84","1,05,077.63"
09/20/2019,"1,03,495.52","1,06,001.35","1,02,782.33","1,04,817.40"
09/13/2019,"1,02,936.68","1,04,699.20","1,02,230.73","1,03,501.18"
09-06-2019,"1,01,132.51","1,03,258.48","99,406.15","1,02,935.43"
08/30/2019,"97,686.54","1,01,551.35","95,855.30","1,01,134.61"
08/23/2019,"99,809.52","1,01,469.05","97,085.21","97,667.49"
08/16/2019,"1,03,945.84","1,03,945.84","98,200.36","99,805.78"
08-09-2019,"1,02,657.77","1,04,848.18","99,630.09","1,03,996.16"
08-02-2019,"1,02,817.42","1,04,055.69","1,00,950.36","1,02,673.68"
07/26/2019,"1,03,451.93","1,04,570.36","1,02,196.31","1,02,818.93"
07/19/2019,"1,03,909.11","1,04,773.05","1,03,361.08","1,03,451.93"
07-12-2019,"1,04,090.14","1,06,650.12","1,03,903.06","1,03,905.99"
07-05-2019,"1,00,973.48","1,04,175.90","1,00,072.77","1,04,089.47"
