Date,Open,High,Low,Close,,
01-27-2023,"1,14,178.21","1,14,190.65","1,12,044.46","1,12,316.16",,
01-26-2023,"1,14,271.19","1,14,835.35","1,13,591.04","1,14,177.55",,
01-25-2023,"1,13,028.01","1,14,426.47","1,11,927.22","1,14,270.07",,
01-24-2023,"1,11,746.04","1,13,040.25","1,11,669.24","1,13,028.15",,
01-23-2023,"1,12,040.64","1,13,061.34","1,11,541.82","1,11,737.28",,
01-20-2023,"1,12,921.52","1,13,024.87","1,11,734.58","1,12,040.64",,
01-19-2023,"1,12,219.38","1,13,171.83","1,11,306.96","1,12,921.88",,
01-18-2023,"1,11,442.39","1,13,306.24","1,11,441.08","1,12,228.39",,
01-17-2023,"1,09,213.72","1,11,577.45","1,09,213.72","1,11,439.12",,
01-16-2023,"1,10,907.91","1,10,907.91","1,08,752.91","1,09,212.66",,
01-13-2023,"1,11,843.47","1,11,846.71","1,10,427.64","1,10,916.08",,
01-12-2023,"1,12,516.40","1,13,128.80","1,10,981.59","1,11,850.22",,
01-11-2023,"1,10,816.14","1,12,552.12","1,10,752.00","1,12,517.08",,
01-10-2023,"1,09,128.58","1,11,193.43","1,08,478.19","1,10,816.71",,
01-09-2023,"1,08,963.90","1,09,937.57","1,08,134.33","1,09,129.57",,
01-06-2023,"1,07,641.87","1,09,432.79","1,07,641.87","1,08,963.70",,
01-05-2023,"1,05,336.15","1,07,743.23","1,05,333.08","1,07,641.32",,
01-04-2023,"1,04,167.14","1,05,627.28","1,03,915.11","1,05,334.46",,
01-03-2023,"1,06,376.76","1,06,683.69","1,03,852.27","1,04,165.74",,
01-02-2023,"1,09,733.88","1,09,733.88","1,05,980.66","1,06,376.02",,
