Date,Open,High,Low,Close,Volume
05/02/2023,"91.01","91.41","90.24","91.17","286,023"
05/01/2023,"90.92","91.76","90.71","91.41","278,207"
04/28/2023,"91.00","91.54","90.29","90.73","289,344"
04/27/2023,"88.72","91.58","88.61","90.98","373,002"
04/26/2023,"89.05","89.74","88.14","88.27","393,963"
04/25/2023,"90.47","90.83","89.41","89.64","356,293"
04/24/2023,"91.48","91.64","90.53","90.74","249,482"
04/21/2023,"91.50","91.79","91.06","91.30","369,776"
04/20/2023,"89.85","91.57","89.68","91.17","486,793"
04/19/2023,"90.04","90.37","89.42","89.95","461,633"
04/18/2023,"89.39","90.15","88.85","90.12","450,889"
04/17/2023,"88.76","89.79","88.23","89.12","358,839"
04/14/2023,"87.50","88.85","87.50","88.42","484,773"
04/13/2023,"86.98","88.01","85.58","87.47","355,431"
04/12/2023,"86.80","87.72","86.44","87.47","451,934"
04/11/2023,"85.43","86.61","85.20","86.06","358,205"
04/10/2023,"83.82","85.22","83.80","85.05","426,449"
04/06/2023,"84.42","85.12","84.16","84.49","523,914"
04/05/2023,"83.91","86.26","83.48","84.56","1,044,701"
04/04/2023,"88.00","88.97","83.04","83.64","1,308,830"
04/03/2023,"83.66","84.58","83.53","84.38","518,311"
03/31/2023,"83.09","84.05","82.88","84.00","223,439"
03/30/2023,"83.51","83.51","82.32","82.51","156,583"
03/29/2023,"83.00","83.00","82.09","82.89","249,673"
03/28/2023,"81.71","83.02","81.66","82.36","174,994"
03/27/2023,"81.65","82.16","81.29","81.83","274,245"
03/24/2023,"79.76","81.21","79.28","80.89","261,696"
03/23/2023,"80.23","81.41","79.26","80.06","253,318"
03/22/2023,"81.60","81.98","80.30","80.31","179,981"
03/21/2023,"81.65","82.41","81.05","81.67","214,994"
03/20/2023,"78.98","80.78","78.92","80.64","318,916"
03/17/2023,"80.49","80.49","77.99","78.24","830,627"
03/16/2023,"79.54","80.87","79.35","80.65","215,431"
03/15/2023,"80.81","80.98","78.53","80.21","413,835"
03/14/2023,"82.36","83.44","81.61","82.23","332,098"
03/13/2023,"81.49","81.89","79.97","81.08","522,043"
03/10/2023,"83.90","83.90","81.72","82.24","349,159"
03/09/2023,"85.78","85.82","83.89","83.91","185,710"
03/08/2023,"84.90","85.38","84.37","85.33","207,713"
03/07/2023,"84.94","85.50","84.46","84.88","236,743"
03/06/2023,"85.97","86.63","84.84","85.02","305,365"
03/03/2023,"86.03","86.18","84.35","85.94","288,511"
03/02/2023,"85.32","85.70","84.66","85.57","352,702"
03/01/2023,"84.32","85.66","83.92","85.44","263,117"
02/28/2023,"84.01","84.74","83.87","84.52","375,486"
02/27/2023,"84.48","85.52","84.07","84.26","273,231"
02/24/2023,"83.57","84.16","82.61","84.01","339,443"
02/23/2023,"84.18","84.48","83.07","84.06","195,282"
02/22/2023,"84.55","85.15","83.61","83.81","294,403"
02/21/2023,"85.88","85.93","84.14","84.35","303,640"
02/17/2023,"86.10","87.16","85.87","86.68","350,520"
02/16/2023,"85.41","87.20","84.96","86.03","319,467"
02/15/2023,"85.69","86.42","85.31","86.33","152,582"
02/14/2023,"86.52","86.86","85.26","85.97","327,882"
02/13/2023,"86.35","86.86","85.85","86.85","271,927"
02/10/2023,"86.02","86.27","85.58","86.14","255,336"
02/09/2023,"87.65","87.80","86.28","86.53","355,582"
02/08/2023,"88.84","89.00","87.24","87.34","250,137"
02/07/2023,"88.31","89.45","87.52","89.20","339,507"
02/06/2023,"88.45","88.92","87.02","88.86","472,213"
02/03/2023,"89.21","89.39","87.72","88.80","416,696"
02/02/2023,"86.82","90.04","86.17","89.61","697,948"
02/01/2023,"82.24","86.53","82.24","86.17","572,419"
01/31/2023,"80.75","82.90","80.75","82.70","469,491"
01/30/2023,"81.57","82.24","80.75","80.78","190,664"
01/27/2023,"81.83","82.45","81.24","81.84","301,808"
01/26/2023,"81.00","81.95","80.63","81.66","374,216"
01/25/2023,"80.39","80.75","79.52","80.44","209,673"
01/24/2023,"80.04","80.99","79.26","80.70","239,142"
01/23/2023,"79.38","80.23","79.25","79.87","302,014"
01/20/2023,"77.62","79.03","76.75","79.03","389,559"
01/19/2023,"77.45","78.05","77.19","77.23","390,949"
01/18/2023,"79.24","79.86","77.72","77.73","382,093"
01/17/2023,"80.48","81.07","78.60","79.08","392,552"
01/13/2023,"80.00","80.57","79.80","80.39","252,497"
01/12/2023,"81.50","81.86","80.43","80.47","434,960"
01/11/2023,"80.21","81.48","80.08","81.18","427,693"
01/10/2023,"79.00","80.25","78.27","79.95","456,608"
01/09/2023,"78.07","79.54","77.46","78.86","612,846"
01/06/2023,"77.89","78.37","76.77","78.36","608,829"
01/05/2023,"81.20","81.98","76.84","77.03","688,359"
01/04/2023,"81.85","82.56","81.13","81.50","421,032"
01/03/2023,"81.80","82.24","80.82","81.67","288,967"
